latitude,longitude,primary_road,secondary_road,description,legs,state
45.48103494,-98.48803947,15TH AVE NE,MAIN ST N,On 15TH AVE NE at its intersection with MAIN ST N,4,SD
43.0062264,-98.06013348,2ND AVE,MAIN ST,On 2ND AVE at its intersection with MAIN ST,4,SD
43.63076507,-96.9402681,VAN DEMARK AVE,9TH ST,On VAN DEMARK AVE at its intersection with 9TH ST,4,SD
44.35617652,-98.20452585,9TH ST SE,FRANK AVE,On 9TH ST SE at its intersection with FRANK AVE,4,SD
43.64447127,-97.07387218,3RD AVE,MAIN ST,On 3RD AVE at its intersection with MAIN ST,4,SD
43.645399,-97.07387574,MAIN ST,2ND AVE,On MAIN ST at its intersection with 2ND AVE,4,SD
43.78594415,-96.93212445,5TH ST,GLENN AVE,On 5TH ST at its intersection with GLENN AVE,4,SD
43.82694116,-96.72735776,SEVENTH ST,WESTVIEW DR,On SEVENTH ST at its intersection with WESTVIEW DR,4,SD
43.11827124,-96.95696749,FLORIDA ST,LINCOLN ST,On FLORIDA ST at its intersection with LINCOLN ST,4,SD
43.78594217,-96.93068708,5TH ST,MAIN AVE,On 5TH ST at its intersection with MAIN AVE,4,SD
43.5981624,-96.58440857,PASQUE FLOWER TRL N,SWITCH GRASS TRL E,On PASQUE FLOWER TRL N at its intersection with SWITCH GRASS TRL E,4,SD
43.35528359,-96.89178291,1ST AVE,MAIN ST,On 1ST AVE at its intersection with MAIN ST,4,SD
43.35428024,-96.89174873,2ND AVE,MAIN ST,On 2ND AVE at its intersection with MAIN ST,4,SD
43.82615804,-96.70664818,GARFIELD AVE,SEVENTH ST,On GARFIELD AVE at its intersection with SEVENTH ST,4,SD
43.82713638,-96.70835476,EIGHTH ST,STATE AVE,On EIGHTH ST at its intersection with STATE AVE,4,SD
43.35059648,-96.89583503,5TH AVE,ELM ST,On 5TH AVE at its intersection with ELM ST,4,SD
43.40173703,-97.13650037,6TH ST,MAIN AVE,On 6TH ST at its intersection with MAIN AVE,4,SD
43.08514312,-97.15785799,CLARK AVE,STATE ST,On CLARK AVE at its intersection with STATE ST,4,SD
44.04995662,-103.21802744,ARIZONA ST,TEXAS ST E,On ARIZONA ST at its intersection with TEXAS ST E,4,SD
42.88706674,-97.37719789,19TH ST E,PENINAH ST,On 19TH ST E at its intersection with PENINAH ST,4,SD
42.89432261,-97.39203671,DOUGLAS AVE,23RD ST E,On DOUGLAS AVE at its intersection with 23RD ST E,4,SD
44.41349155,-103.51560447,4TH ST,SHERMAN ST,On 4TH ST at its intersection with SHERMAN ST,4,SD
44.4145298,-103.51413005,3RD ST,MAIN ST,On 3RD ST at its intersection with MAIN ST,4,SD
44.41458318,-103.51553474,4TH ST,MAIN ST,On 4TH ST at its intersection with MAIN ST,4,SD
44.23334819,-103.39062422,2ND ST,CHESTNUT ST,On 2ND ST at its intersection with CHESTNUT ST,4,SD
44.23104863,-103.39029292,3RD ST,MAIN ST,On 3RD ST at its intersection with MAIN ST,4,SD
44.06142865,-103.23014822,7TH ST,CLEVELAND ST,On 7TH ST at its intersection with CLEVELAND ST,4,SD
44.05511368,-103.21174582,FAIRMONT BLVD,MAPLE AVE,On FAIRMONT BLVD at its intersection with MAPLE AVE,4,SD
44.07917315,-103.20175811,LACROSSE ST,MAIN ST N E,On LACROSSE ST at its intersection with MAIN ST N E,4,SD
45.46411649,-98.48216354,1ST AVE SE,KLINE ST S,On 1ST AVE SE at its intersection with KLINE ST S,4,SD
45.46414615,-98.47932077,1ST AVE SE,STATE ST S,On 1ST AVE SE at its intersection with STATE ST S,4,SD
45.21558944,-96.62795028,7TH AVE E,VIOLA ST,On 7TH AVE E at its intersection with VIOLA ST,4,SD
44.07785728,-103.22795677,6TH ST,QUINCY ST,On 6TH ST at its intersection with QUINCY ST,4,SD
44.04692786,-103.21178627,CENTENNIAL ST,PARKVIEW DR,On CENTENNIAL ST at its intersection with PARKVIEW DR,4,SD
44.06452262,-103.22812954,6TH ST,FLORMANN ST,On 6TH ST at its intersection with FLORMANN ST,4,SD
44.06553476,-103.22814025,6TH ST,ST ANNE ST,On 6TH ST at its intersection with ST ANNE ST,4,SD
44.06655209,-103.22814664,6TH ST,ST FRANCIS ST,On 6TH ST at its intersection with ST FRANCIS ST,4,SD
44.07057836,-103.234244,9TH ST,FRANKLIN ST,On 9TH ST at its intersection with FRANKLIN ST,4,SD
44.07815319,-103.22980508,7TH ST,QUINCY ST,On 7TH ST at its intersection with QUINCY ST,4,SD
44.0787788,-103.23356686,9TH ST,QUINCY ST,On 9TH ST at its intersection with QUINCY ST,4,SD
42.86976912,-97.39056177,3RD ST E,CAPITOL ST,On 3RD ST E at its intersection with CAPITOL ST,4,SD
42.8698007,-97.39225524,DOUGLAS AVE,3RD ST W,On DOUGLAS AVE at its intersection with 3RD ST W,4,SD
42.86979639,-97.39210326,DOUGLAS AVE,3RD ST E,On DOUGLAS AVE at its intersection with 3RD ST E,4,SD
43.47805881,-96.77139331,82ND ST W,HUGHES AVE S,On 82ND ST W at its intersection with HUGHES AVE S,4,SD
43.45375474,-96.83623873,BRIAN ST,MAIN AVE,On BRIAN ST at its intersection with MAIN AVE,4,SD
43.35328814,-96.89173114,3RD AVE,MAIN ST,On 3RD AVE at its intersection with MAIN ST,4,SD
43.44847271,-96.83621838,APPLE ST,MAIN AVE,On APPLE ST at its intersection with MAIN AVE,4,SD
43.49640839,-96.71481991,61ST ST E,TOMAR RD S,On 61ST ST E at its intersection with TOMAR RD S,4,SD
43.35230834,-96.88892519,4TH AVE,CHERRY ST,On 4TH AVE at its intersection with CHERRY ST,4,SD
43.44173141,-96.71214249,AUGUSTANA AVE,LAURA ST,On AUGUSTANA AVE at its intersection with LAURA ST,4,SD
43.35059617,-96.89173437,5TH AVE,MAIN ST,On 5TH AVE at its intersection with MAIN ST,4,SD
43.52048781,-96.77465796,SHIRLEY AVE S,34TH ST W,On SHIRLEY AVE S at its intersection with 34TH ST W,4,SD
43.82325043,-96.70674529,FOURTH ST,GARFIELD AVE,On FOURTH ST at its intersection with GARFIELD AVE,4,SD
43.42874244,-96.69551547,GRAND AVE,MAPLE ST,On GRAND AVE at its intersection with MAPLE ST,4,SD
43.44754424,-96.83915577,MAPLE ST,POPLAR AVE,On MAPLE ST at its intersection with POPLAR AVE,4,SD
43.45374089,-96.84121207,BRIAN ST,COLE AVE,On BRIAN ST at its intersection with COLE AVE,4,SD
45.03382251,-99.12864601,COURT ST,ELEVENTH AVE S,On COURT ST at its intersection with ELEVENTH AVE S,4,SD
45.0370077,-99.12717744,ELM ST,TENTH AVE N,On ELM ST at its intersection with TENTH AVE N,4,SD
43.37184941,-99.86274321,7TH ST,LAMRO ST,On 7TH ST at its intersection with LAMRO ST,4,SD
44.41445027,-103.51130167,1ST ST,MAIN ST,On 1ST ST at its intersection with MAIN ST,4,SD
43.44361126,-96.71214749,AUGUSTANA AVE,KENT ST,On AUGUSTANA AVE at its intersection with KENT ST,4,SD
44.36563859,-100.35500896,DAKOTA AVE,PIERRE ST,On DAKOTA AVE at its intersection with PIERRE ST,4,SD
43.54940012,-96.70391673,AUSTIN ST E,HIGHLAND AVE N,On AUSTIN ST E at its intersection with HIGHLAND AVE N,4,SD
43.55848525,-96.67156728,SYCAMORE AVE N,MADISON ST E,On SYCAMORE AVE N at its intersection with MADISON ST E,4,SD
43.62303113,-96.94567372,2ND ST,MAIN AVE,On 2ND ST at its intersection with MAIN AVE,4,SD
44.31414699,-96.77830815,JACKRABBIT AVE,8TH ST,On JACKRABBIT AVE at its intersection with 8TH ST,4,SD
43.50437062,-96.79935333,53RD ST W,HOLBROOK AVE S,On 53RD ST W at its intersection with HOLBROOK AVE S,4,SD
43.50753435,-96.68134324,49TH ST E,BAHNSON AVE S,On 49TH ST E at its intersection with BAHNSON AVE S,4,SD
43.55120607,-96.73708071,6TH ST W,PRAIRIE AVE N,On 6TH ST W at its intersection with PRAIRIE AVE N,4,SD
45.21242151,-96.63728158,10TH AVE E,2ND ST,On 10TH AVE E at its intersection with 2ND ST,4,SD
45.29574229,-96.46406927,MARGARET ST,2ND AVE,On MARGARET ST at its intersection with 2ND AVE,4,SD
43.37547973,-99.85982285,3RD ST,VAN BUREN ST,On 3RD ST at its intersection with VAN BUREN ST,4,SD
45.20837244,-96.62960294,7TH ST,12TH AVE E,On 7TH ST at its intersection with 12TH AVE E,4,SD
45.4509694,-99.65228524,2 AVE,3 ST,On 2 AVE at its intersection with 3 ST,4,SD
43.80575656,-99.33237508,9TH AVE,SANBORN ST,On 9TH AVE at its intersection with SANBORN ST,4,SD
42.52641032,-96.48399314,LOUIS AVE,MAIN ST,On LOUIS AVE at its intersection with MAIN ST,4,SD
45.09064097,-97.64388276,BENTLEY AVE,MAIN ST,On BENTLEY AVE at its intersection with MAIN ST,4,SD
45.08953095,-97.64389029,3RD ST,BENTLEY AVE,On 3RD ST at its intersection with BENTLEY AVE,4,SD
43.03949071,-98.18740515,PEARL ST,WARREN AVE,On PEARL ST at its intersection with WARREN AVE,4,SD
43.54599559,-96.73989964,10TH ST W,MENLO AVE S,On 10TH ST W at its intersection with MENLO AVE S,4,SD
43.70982918,-96.50265733,DOWS ST,MAIN AVE,On DOWS ST at its intersection with MAIN AVE,4,SD
43.51007159,-96.70474539,EDGEWOOD RD E,THUNDERBIRD TRL S,On EDGEWOOD RD E at its intersection with THUNDERBIRD TRL S,4,SD
43.51477636,-96.68132137,41ST ST E,BAHNSON AVE S,On 41ST ST E at its intersection with BAHNSON AVE S,4,SD
43.5329269,-96.82260972,22ND ST W,DISCOVERY AVE S,On 22ND ST W at its intersection with DISCOVERY AVE S,4,SD
43.545962,-96.74126263,10TH ST W,GRANGE AVE S,On 10TH ST W at its intersection with GRANGE AVE S,4,SD
44.40596569,-98.47350809,ASH ST,MAPLE AVE,On ASH ST at its intersection with MAPLE AVE,4,SD
44.00808466,-97.9269415,2ND AVE,SCOLLARD ST,On 2ND AVE at its intersection with SCOLLARD ST,4,SD
44.41340747,-103.51277064,SHERMAN ST,HARLEY-DAVIDSON WAY,On SHERMAN ST at its intersection with HARLEY-DAVIDSON WAY,4,SD
43.42460106,-96.69271264,PERRY LN,TIGER ST,On PERRY LN at its intersection with TIGER ST,4,SD
45.48823635,-98.47460974,DAKOTA ST N,24TH AVE NE,On DAKOTA ST N at its intersection with 24TH AVE NE,4,SD
45.45612604,-98.49240155,3RD ST S,9TH AVE SW,On 3RD ST S at its intersection with 9TH AVE SW,4,SD
42.89067647,-97.39197361,DOUGLAS AVE,21ST ST W,On DOUGLAS AVE at its intersection with 21ST ST W,4,SD
43.54858878,-96.73710978,8TH ST W,PRAIRIE AVE N,On 8TH ST W at its intersection with PRAIRIE AVE N,4,SD
43.08161544,-96.77412344,3RD ST,HEMLOCK ST,On 3RD ST at its intersection with HEMLOCK ST,4,SD
43.02161068,-96.63245751,BROAD ST,SECOND ST,On BROAD ST at its intersection with SECOND ST,4,SD
43.88864004,-100.70901466,3RD ST,JEFFERSON AVE,On 3RD ST at its intersection with JEFFERSON AVE,4,SD
43.88764348,-100.70902513,4TH ST,JEFFERSON AVE,On 4TH ST at its intersection with JEFFERSON AVE,4,SD
43.82618148,-96.70838345,SEVENTH ST,STATE AVE,On SEVENTH ST at its intersection with STATE AVE,4,SD
43.13226259,-96.45532816,5TH ST,HARRIS ST,On 5TH ST at its intersection with HARRIS ST,4,SD
43.22163762,-96.49020505,486 AVE,LINCOLN ST,On 486 AVE at its intersection with LINCOLN ST,4,SD
43.44846936,-96.83916027,APPLE ST,POPLAR AVE,On APPLE ST at its intersection with POPLAR AVE,4,SD
43.42864901,-96.69271526,MAPLE ST,PERRY LN,On MAPLE ST at its intersection with PERRY LN,4,SD
43.35430068,-96.88897404,2ND AVE,CHERRY ST,On 2ND AVE at its intersection with CHERRY ST,4,SD
43.44340429,-96.71681582,UNITED AVE,KENT ST,On UNITED AVE at its intersection with KENT ST,4,SD
43.4255498,-96.71087684,HONEYSUCKLE DR,SHEBAL AVE,On HONEYSUCKLE DR at its intersection with SHEBAL AVE,4,SD
45.32554307,-98.49563196,MAIN ST W,CENTRAL AVENUE N,On MAIN ST W at its intersection with CENTRAL AVENUE N,4,SD
45.44435521,-99.0321789,1ST AVE,6TH ST,On 1ST AVE at its intersection with 6TH ST,4,SD
45.46312445,-98.48952874,1ST ST S,2ND AVE SW,On 1ST ST S at its intersection with 2ND AVE SW,4,SD
44.41438448,-103.50902512,JUNCTION AVE,MAIN ST,On JUNCTION AVE at its intersection with MAIN ST,4,SD
44.9078484,-97.09404746,13 ST NE,6 AVE NE,On 13 ST NE at its intersection with 6 AVE NE,4,SD
45.81053119,-100.8150804,3RD AVE W,5TH ST,On 3RD AVE W at its intersection with 5TH ST,4,SD
44.08485088,-103.20967769,HERMAN ST,NEW YORK ST E,On HERMAN ST at its intersection with NEW YORK ST E,4,SD
45.03597459,-99.12718201,PARK ST,TENTH AVE N,On PARK ST at its intersection with TENTH AVE N,4,SD
44.06763379,-103.21176796,ELM AVE,ST PATRICK ST E,On ELM AVE at its intersection with ST PATRICK ST E,4,SD
43.33031761,-96.76714849,1ST ST,LOUISE AVE,On 1ST ST at its intersection with LOUISE AVE,4,SD
45.2124953,-96.62952881,10TH AVE E,7TH ST,On 10TH AVE E at its intersection with 7TH ST,4,SD
45.21637003,-96.63442249,3RD ST,PARK AVE E,On 3RD ST at its intersection with PARK AVE E,4,SD
45.21995777,-96.63587328,MAIN ST,3RD AVE E,On MAIN ST at its intersection with 3RD AVE E,4,SD
44.70421226,-100.06447589,8TH ST,DOGWOOD AVE,On 8TH ST at its intersection with DOGWOOD AVE,4,SD
45.20834153,-96.6350289,PARK DR,12TH AVE E,On PARK DR at its intersection with 12TH AVE E,4,SD
44.90466721,-97.11867842,3 AVE NW,3 ST NW,On 3 AVE NW at its intersection with 3 ST NW,4,SD
44.92119225,-97.10117334,7 ST NE,NORTHRIDGE DR NE,On 7 ST NE at its intersection with NORTHRIDGE DR NE,4,SD
44.41858122,-103.52150818,9TH ST,WILLIAMS ST,On 9TH ST at its intersection with WILLIAMS ST,4,SD
44.413268,-103.50649596,MIDDLE ST,SHERMAN ST,On MIDDLE ST at its intersection with SHERMAN ST,4,SD
43.17365017,-101.73679391,4TH AVE,SCHOOL ST,On 4TH AVE at its intersection with SCHOOL ST,4,SD
44.44030954,-96.89187917,2ND ST,WAGNER ST,On 2ND ST at its intersection with WAGNER ST,4,SD
43.80291846,-99.33707729,13TH AVE,COURTLAND ST,On 13TH AVE at its intersection with COURTLAND ST,4,SD
45.00812665,-99.95572797,EXENE ST,KING AVE,On EXENE ST at its intersection with KING AVE,4,SD
45.01247691,-99.95420625,BLAINE AVE,EAST ST,On BLAINE AVE at its intersection with EAST ST,4,SD
45.01140879,-99.95421395,COMMERCIAL AVE,EAST ST,On COMMERCIAL AVE at its intersection with EAST ST,4,SD
44.75888446,-96.68402897,1ST ST W,4TH AVE N,On 1ST ST W at its intersection with 4TH AVE N,4,SD
45.01461976,-99.95418424,CUSTER AVE,EAST ST,On CUSTER AVE at its intersection with EAST ST,4,SD
44.00505075,-97.11541627,VAN EPS AVE N,CENTER ST W,On VAN EPS AVE N at its intersection with CENTER ST W,4,SD
44.23271704,-96.47763404,5TH ST E,BADGER ST,On 5TH ST E at its intersection with BADGER ST,4,SD
44.23506775,-96.47767737,3RD ST E,BADGER ST,On 3RD ST E at its intersection with BADGER ST,4,SD
44.65520228,-103.85368366,SUMMIT ST,STANLEY ST,On SUMMIT ST at its intersection with STANLEY ST,4,SD
