tag,lat,lon
Children_at_play,39.8064104,-89.6148304
Children_at_play,39.8260804,-89.6122476
Children_at_play,39.8592836,-89.5441131
Children_at_play,39.7913508,-89.6936513
Children_at_play,39.749019,-89.6125226
Children_at_play,39.7491117,-89.6121061
Children_at_play,39.6807864,-89.7051236
Children_at_play,39.7809471,-89.7054684
Children_at_play,39.7804219,-89.7056196
Children_at_play,39.7510864,-89.5294419
Children_at_play,39.7705333,-89.6981671
Children_at_play,39.7705827,-89.6969925
Children_at_play,39.7709233,-89.6959998
Children_at_play,39.7711145,-89.6957718
Children_at_play,39.7728618,-89.6959411
Children_at_play,39.7771542,-89.6262702
Children_at_play,39.8162355,-89.6270656
Children_at_play,39.7601216,-89.7336161
Children_at_play,39.7613888,-89.7337692
Children_at_play,39.7623648,-89.7336603
Children_at_play,39.7633557,-89.7337984
Children_at_play,39.7380839,-89.6275528
Children_at_play,39.7381743,-89.626732
Children_at_play,39.7795819,-89.6987852
Children_at_play,39.8074359,-89.7051517
Children_at_play,39.8060188,-89.7050561
Children_at_play,39.8047211,-89.7115002
Children_at_play,39.8041509,-89.7103879
Children_at_play,39.8043801,-89.709843
Children_at_play,39.7914366,-89.6795836
Children_at_play,39.7748134,-89.7503582
Children_at_play,39.7926654,-89.6161518
Children_at_play,39.8187279,-89.6136564
Children_at_play,39.8060628,-89.6366895
Children_at_play,39.8059592,-89.6363097
Children_at_play,39.8532909,-89.2418265
Children_at_play,39.8534448,-89.239389
Children_at_play,39.8538628,-89.2391929
Children_at_play,39.8456513,-89.541538
Children_at_play,37.8981945,-122.2842843
Children_at_play,37.8981869,-122.2842365
Children_at_play,37.8935132,-122.2855823
Children_at_play,39.783499,-89.70214
Children_at_play,39.7587746,-89.671386
Children_at_play,39.7605016,-89.6752786
Children_at_play,39.7805272,-89.6920323
Children_at_play,39.7969739,-89.6933174
Children_at_play,39.7987104,-89.6957825
Children_at_play,39.7984472,-89.6960033
Children_at_play,39.7735424,-89.7022152
Children_at_play,39.5375101,-89.7583511
Children_at_play,39.538435,-89.7564157
Children_at_play,39.5392778,-89.7563418
Children_at_play,39.7522859,-89.5815316
Children_at_play,39.7676073,-89.6809273
Children_at_play,39.7995062,-89.6186038
Children_at_play,39.7837766,-89.6210799
Children_at_play,39.746324,-89.6934158
Children_at_play,39.7814507,-89.6287427
Children_at_play,39.7651839,-89.5754938
Children_at_play,39.7835832,-89.7055226
Children_at_play,39.7834518,-89.705292
Children_at_play,39.7705662,-89.7313084
Children_at_play,39.7702856,-89.7317023
Children_at_play,39.7531059,-89.6919919
Children_at_play,39.7578819,-89.69669
Children_at_play,39.7591231,-89.6907255
Children_at_play,39.8185251,-89.6220486
Children_at_play,39.8184378,-89.6217979
Children_at_play,39.7757915,-89.6917055
Children_at_play,39.7759773,-89.6931465
Children_at_play,39.7852656,-89.625121
Children_at_play,39.7851824,-89.6247422
Children_at_play,39.7609269,-89.7047845
Children_at_play,39.7617773,-89.70458
Children_at_play,39.8102046,-89.6378165
Children_at_play,39.8112399,-89.6379808
Children_at_play,39.7909649,-89.6874828
Children_at_play,39.7782352,-89.6978589
Children_at_play,39.8220569,-89.6507941
Children_at_play,39.7970186,-89.6332244
Children_at_play,39.8152261,-89.6402288
Children_at_play,39.7971715,-89.6170376
Children_at_play,39.7869386,-89.6388555
Children_at_play,39.8144294,-89.6187466
Children_at_play,39.8144755,-89.6183911
Children_at_play,39.8185714,-89.6188653
Children_at_play,39.6798642,-89.6400393
Children_at_play,39.7605138,-89.6546718
Children_at_play,39.7604879,-89.656032
Children_at_play,39.7604001,-89.6561137
Children_at_play,39.7663538,-89.6127067
Children_at_play,39.7667999,-89.6132212
Children_at_play,39.7704645,-89.7232907
Children_at_play,39.8464791,-89.6121402
Children_at_play,39.8490533,-89.6122852
Children_at_play,39.7559539,-89.5748362
Children_at_play,39.7195906,-89.634244
Children_at_play,39.7475092,-89.6291427
Children_at_play,39.7642056,-89.5775582
Children_at_play,39.7631425,-89.5767556
Children_at_play,39.7632459,-89.5754875
Children_at_play,39.7628426,-89.5780383
Children_at_play,39.7617619,-89.5865972
Children_at_play,39.6714581,-89.651491
Children_at_play,39.6716265,-89.6490252
Children_at_play,39.6723875,-89.6489534
Children_at_play,39.6729818,-89.649644
Children_at_play,39.6381329,-89.666312
Children_at_play,39.6339194,-89.6640157
Children_at_play,39.7990144,-89.7147233
Children_at_play,39.7980016,-89.7127399
Children_at_play,39.7979344,-89.7115732
Children_at_play,39.8053242,-89.7032067
Children_at_play,39.8048863,-89.7008731
Children_at_play,39.7687478,-89.7151018
Children_at_play,39.766171,-89.6207045
Children_at_play,39.7651818,-89.7002884
Children_at_play,39.766928,-89.6992742
Children_at_play,39.7632352,-89.6941954
Children_at_play,39.7602401,-89.6940205
Children_at_play,39.7997094,-89.6897564
Children_at_play,39.7586849,-89.5778219
Children_at_play,39.758769,-89.5791886
Children_at_play,39.7589692,-89.5778416
Children_at_play,39.8186489,-89.6064232
Children_at_play,39.754872,-89.6968883
Children_at_play,39.7539719,-89.6953158
Children_at_play,37.899824,-122.2752253
Children_at_play,39.7861883,-89.7026914
Children_at_play,39.7356467,-89.6518585
Children_at_play,39.7383175,-89.6519952
Children_at_play,39.7869748,-89.6325298
Children_at_play,39.7014347,-89.5921247
Children_at_play,39.7583761,-89.5858301
Children_at_play,39.7244219,-89.6351992
Children_at_play,39.7245219,-89.6363906
Children_at_play,39.7247882,-89.6374246
Children_at_play,39.810604,-89.6681672
Children_at_play,39.8354823,-89.6249086
Children_at_play,39.7610956,-89.6759911
Children_at_play,39.8013547,-89.7134442
Children_at_play,39.8545046,-89.6176535
Children_at_play,39.8507627,-89.5390163
Children_at_play,39.856244,-89.5395369
Children_at_play,39.8567526,-89.5399059
Children_at_play,39.8591521,-89.5402908
Children_at_play,39.7765782,-89.677472
Children_at_play,39.8210059,-89.6506513
Children_at_play,39.8345576,-89.6532069
Children_at_play,39.8148136,-89.6269135
Children_at_play,39.7834245,-89.6364986
Children_at_play,39.8134666,-89.6255426
Children_at_play,39.7736047,-89.6382546
Children_at_play,39.7748489,-89.6395959
Children_at_play,39.7754064,-89.6394852
Children_at_play,39.7950087,-89.6797168
Children_at_play,39.7961273,-89.6798978
Children_at_play,39.7960454,-89.6776669
Children_at_play,39.7959269,-89.6769071
Children_at_play,39.7956661,-89.6761069
Children_at_play,39.7960576,-89.6738852
Children_at_play,39.81628,-89.6828226
Children_at_play,39.8161239,-89.6809478
Children_at_play,39.8164732,-89.6792086
Children_at_play,39.7788456,-89.6570945
Children_at_play,39.7792407,-89.657158
Children_at_play,39.7678151,-89.6664942
Children_at_play,39.770557,-89.6629852
Children_at_play,39.7270932,-89.7173765
Children_at_play,39.8237992,-89.6995405
Children_at_play,39.7775642,-89.6107592
Children_at_play,39.7799262,-89.6135043
Children_at_play,39.8085463,-89.665812
Children_at_play,39.8092553,-89.6649302
Children_at_play,39.7995078,-89.676587
Children_at_play,39.7862142,-89.6572923
